X,Y,OBJECTID,ASSETID,SearchDescription,Type,SerialNo,ExpectedCommissioning,AssetStage,MaintenanceResp,SigActivity,DrawingRef,SpatialAccuracy,MeterComponent,PropertyUse,NumDials,AccountNo,MeterSize,loaddate,InstallDate,FunctionService
1691655.2165,5672170.8432,1457,40111270,NP-FRANK0406WM,Manifold Meter,NM412,,In Service,Unknown,Water Supply,,DIGITISE,REG,FARM,22,1654,0,2024/03/22 22:03:57+00,2001/02/13 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Cowling Rd Pump Water Supply Zone
1700316.1781,5678551.5011,1458,40193255,BB-CYGNE0012WM,Manifold Meter,11M15369861,,In Service,Water,Water Supply,WAC11/00011,DIGITISE,REG,Commercial/Industrial,34,30233,20,2024/03/22 22:03:57+00,2011/08/30 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1694106.7959,5676689.5837,1459,40111235,NP-DEVON0366WM,Manifold Meter,91M104889,,In Service,Water,Water Supply,,DIGITISE,REG,Commercial/Industrial,25,1034,20,2024/03/22 22:03:57+00,1991/01/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1704959.3893,5683079.631,1460,40110543,WA-BROWN0047WM/2,Restricted Flow Meter,RF1STRONG,,In Service,Water,Water Supply,,DIGITISE,REG,RESTRICTED,30,1585,5,2024/03/22 22:03:57+00,1999/10/20 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1691436.762,5672388.4618,1461,40193320,NP-TUKAP0379WM,Manifold Meter,M1538763,,In Service,Water,Water Supply,WAC11/00122,DIGITISE,REG,Small Holdings,22,30327,20,2024/03/22 22:03:57+00,2012/02/08 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Cowling Rd Pump Water Supply Zone
1704734.7183,5682148.8124,1462,40193339,RU-TATE0150WM,Manifold Meter,09M001663,,In Service,Water,Water Supply,WAC11/00041,DIGITISE,REG,FARM,50,30231,20,2024/03/22 22:03:57+00,2011/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1706027.6855,5665115.4889,1463,40193348,IN-TARAT0123WM,Restricted Flow Meter,RF,,In Service,Water,Water Supply,,DIGITISE,REG,RESTRICTED,30,0,2,2024/03/22 22:03:57+00,2011/10/04 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood East Water Supply Zone
1693341.8758,5676187.6515,1464,40110445,NP-LEACH0036WM,Unknown,104639,,In Service,Unknown,Water Supply,,DIGITISE,REG,Commercial/Industrial,25,1247,0,2024/03/22 22:03:57+00,1994/08/05 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1694229.0187,5676521.317,1465,40110260,NP-NORTH0018WM,Unknown,NO954,,In Service,Unknown,Water Supply,,DIGITISE,REG,Commercial/Industrial,25,323,0,2024/03/22 22:03:57+00,2001/12/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1693224.0723,5676469.7609,1466,40110869,NP-DEVON0123WM,Unknown,NM658,,In Service,Unknown,Water Supply,,DIGITISE,REG,Commercial/Industrial,25,1050,0,2024/03/22 22:03:57+00,1993/05/27 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1693241.4151,5676497.275,1467,40110681,NP-GILL0071WM,Unknown,WO23683,,In Service,Unknown,Water Supply,,DIGITISE,REG,COMMERCIAL,25,316,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1708584.0284,5681883.0802,1468,40110846,WA-PRINC0115WM,Unknown,162701,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,51,944,0,2024/03/22 22:03:57+00,1992/10/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1693042.116,5674971.4186,1469,40195127,NP-CARR20136WM/1,Manifold Meter,11M585026,,In Service,Water,Water Supply,METER BK P2038,DIGITISE,REG,COMMERCIAL,23,1472,20,2024/03/22 22:03:57+00,2012/09/17 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Brooklands Water Supply Zone
1693251.7931,5674677.9989,1470,40111531,NP-NORMA026AWM,Unknown,4689,,In Service,Unknown,Water Supply,,DIGITISE,REG,Water Billing Account,23,1416,0,2024/03/22 22:03:57+00,1997/04/09 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Brooklands Water Supply Zone
1691220.4218,5674432.1163,1471,40193773,NP-GILMO0017WM,Manifold Meter,10M194146,,In Service,Water,Water Supply,,LOCATED,REG,INDUSTRIAL,22,30257,20,2024/03/22 22:03:57+00,2012/03/27 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Veale Water Supply Zone
1697977.0554,5675919.2743,1472,40193777,RU-EGMON0217WM/1,Restricted Flow Meter,RF,,In Service,Water,Water Supply,WAC12/00008,LOCATED,REG,RESTRICTED,30,0,1,2024/03/22 22:03:57+00,2012/04/16 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Rural Water Supply Zone
1703663.1403,5673841.2995,1473,40193779,RU-CLEAR0018WM,Restricted Flow Meter,RF,,In Service,Water,Water Supply,WAC11/00081,LOCATED,REG,RESTRICTED,30,0,1,2024/03/22 22:03:57+00,2012/04/13 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Rural Water Supply Zone
1674869.5003,5661735.7161,1474,40193810,OK-SOUTH2502WM/1,Manifold Meter,11M585033,,In Service,Water,Water Supply,WO#113373,DIGITISE,REG,Commercial/Industrial,3,22,20,2024/03/22 22:03:57+00,2012/04/16 00:00:00+00,Water\Okato System\Okato Reticulation\Okato Water Supply Zone
1694886.7901,5669829.9943,1475,40193821,RU-MANGO0785WM,Restricted Flow Meter,POTROZ,,In Service,Water,Water Supply,,DIGITISE,REG,RESTRICTED,30,0,1,2024/03/22 22:03:57+00,2008/01/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Mangorei Pump Water Supply Zone
1694130.1237,5676163.4695,1476,40110796,NP-NIGER0007WM,Unknown,973344,,In Service,Unknown,Water Supply,,DIGITISE,REG,Water Billing Account,24,961,0,2024/03/22 22:03:57+00,1992/12/11 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1704548.5504,5665511.5725,1477,40194585,IN-JAMES0013WM/2,Manifold Meter,NM0234,,In Service,Water,Water Supply,METER BK P1659,DIGITISE,REG,Water Billing Account,83,1776,0,2024/03/22 22:03:57+00,2006/10/13 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood East Water Supply Zone
1704562.6053,5665515.1278,1478,40126485,IN-JAMES0013WM/1,Unknown,N/M884,,In Service,Unknown,Water Supply,,DIGITISE,REG,Commercial/Industrial,83,1775,0,2024/03/22 22:03:57+00,2002/05/30 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood East Water Supply Zone
1710765.2621,5678218.12,1479,40194152,RU-NGATI0372WM,Restricted Flow Meter,RF,,In Service,Water,Water Supply,,DIGITISE,REG,RESTRICTED,30,0,1,2024/03/22 22:03:57+00,2011/01/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Tikorangi/Urenui Water Supply Zone
1694579.149,5669573.1914,1480,40194176,RU-MANGO0820WM,Restricted Flow Meter,RF,,In Service,Water,Water Supply,,DIGITISE,REG,RESTRICTED,30,0,1,2024/03/22 22:03:57+00,2004/06/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Mangorei Pump Water Supply Zone
1693729.3219,5671094.964,1481,40194178,NP-ATKIN0053WM,Restricted Flow Meter,RF,,In Service,Water,Water Supply,WAC12/00038,DIGITISE,REG,RESTRICTED,30,0,1,2024/03/22 22:03:57+00,2012/06/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Carrington Water Supply Zone
1705714.4676,5681557.6402,1482,40194189,RU-RALEI0099WM,Manifold Meter,09M012012,,In Service,Water,Water Supply,WAC11/00045,DIGITISE,REG,Residential,50,30256,20,2024/03/22 22:03:57+00,2012/05/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
